input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,nlu exact_match,Recall,RAG,ICL,Cite,LongQA,Ours
131072,full,glm4_full_flashattention,95.0,56.00000000000001,40.75,100.0,,,,,46.42112971569493,73.0,90.0,70.39999999999999,91.0,94.19999999999999,37.11666666666667,37.92272727272727,47.36919191919192,,,,,72.9375,,86.39999999999999,40.80286195286195,59.710564857847466,64.96273170267735
131072,xattn,glm4_xattn_threshold0.95,81.0,45.0,51.74999999999999,89.0,,,,,46.57946304902826,74.0,90.2,70.19999999999999,91.2,,37.86666666666667,36.785714285714285,47.03333333333333,2.6,6.044667028101562,9.939075630252102,,66.6875,,83.86666666666666,23.378242824011323,60.28973152451413,58.555535253798034
131072,xattn_v6,glm4_xattn_v6_threshold0.95,81.0,45.0,51.74999999999999,89.0,,,,,46.57946304902826,74.0,90.2,70.19999999999999,91.2,93.60000000000001,37.86666666666667,36.785714285714285,47.03333333333333,2.6,6.044667028101562,9.939075630252102,,66.6875,,86.3,23.378242824011323,60.28973152451413,59.16386858713137
131072,flex,glm4_flex_gamma0.95_tau0.1,95.0,66.0,53.5,91.0,,,,,45.58385865342387,72.0,93.0,66.8,91.60000000000001,93.2,29.15,19.950000000000003,30.26666666666667,2.8000000000000003,4.933409090909091,4.263333333333334,90.4,76.375,,87.0,15.22723484848485,58.79192932671194,59.348541043799194
8192,full,glm4_full_flashattention,99.0,100.0,100.0,100.0,58.5,87.83333333333333,65.66666666666666,62.33333333333333,19.584696498069764,52.0,76.6,29.799999999999997,34.0,,45.35,66.12142857142858,67.86349206349206,26.8,18.608793407732506,19.821615408336083,,99.75,68.58333333333333,46.79999999999999,40.76088824183154,35.79234824903488,58.337313964839936
8192,xattn,glm4_xattn_threshold0.95,83.0,94.0,99.75,100.0,57.99999999999999,87.0,65.0,,20.38117954718439,53.0,,,,,,,,,,,,94.1875,70.0,,,36.690589773592194,66.95936325786407
8192,xattn_v6,glm4_xattn_v6_threshold0.95,84.0,94.0,99.75,100.0,57.99999999999999,87.0,65.0,61.16666666666667,20.387027500400766,53.0,76.8,25.2,30.4,,44.63333333333333,69.55396825396826,70.77619047619046,26.200000000000003,17.062618745992026,18.293160348423502,,94.4375,67.79166666666667,44.13333333333333,41.0865451929846,36.69351375020038,56.828511788637
8192,flex,glm4_flex_gamma0.95_tau0.1,96.0,91.0,99.75,61.0,57.99999999999999,87.83333333333333,62.66666666666667,57.99999999999999,19.977723938465626,55.00000000000001,79.0,18.6,25.6,,41.933333333333344,57.12142857142857,60.11706349206348,21.2,13.549892282150347,16.116194916194917,,86.9375,66.625,41.06666666666666,35.00631876586178,37.488861969232815,53.42486948035226
16384,full,glm4_full_flashattention,98.0,100.0,100.0,98.0,62.16666666666667,89.16666666666667,65.66666666666666,61.5,32.64126563151331,59.0,79.2,40.400000000000006,55.60000000000001,,,,,24.6,15.332613590113588,16.749128325378326,,99.0,69.625,58.400000000000006,18.89391397183064,45.82063281575665,58.34790935751746
16384,xattn,glm4_xattn_threshold0.95,89.0,92.0,99.75,99.0,61.33333333333333,89.83333333333333,64.0,,32.69790723552334,60.0,,,,,,,,,,,,94.9375,71.72222222222221,,,46.348953617761666,71.0028919466613
