input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,msmarco_rerank_psg NDCG@10,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,nlu exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
131072,full,full_flashinfer,98.0,90.0,97.0,96.0,45.5,80.66666666666666,56.00000000000001,51.83333333333333,39.941199862229276,48.0,14.775089430894308,76.2,68.8,90.2,95.19999999999999,88.0,15.249999999999996,0.0,0.0,2.2,0.027777777777777776,0.03333333333333333,95.25,58.49999999999999,83.67999999999999,2.918518518518518,14.775089430894308,43.970599931114634,49.849034646754575
131072,xattn,xattn_threshold0.95,95.0,86.0,97.5,93.0,47.16666666666667,82.0,55.333333333333336,51.66666666666667,42.228695699725115,49.0,10.646593495934958,79.4,70.6,90.60000000000001,95.0,88.2,16.133333333333336,0.21111111111111108,0.5833333333333333,0.0,3.1714285714285717,2.8777777777777778,92.875,59.04166666666667,84.76,3.8294973544973545,10.646593495934958,45.614347849862554,49.46118422782693
131072,xattn_v6,xattn_v6_threshold0.95,95.0,86.0,97.25,93.0,47.16666666666667,82.0,55.666666666666664,,,,,,,,,,,,,,,,92.8125,61.611111111111114,,,,,77.21180555555556
131072,flex,flex_gamma0.95_tau0.1,97.0,95.0,97.75,83.0,47.0,84.83333333333334,55.00000000000001,51.16666666666667,38.50944860694861,53.0,4.797991869918699,89.2,64.0,90.0,95.0,89.0,17.333333333333332,0.0,0.0,2.2,0.0,0.0,93.1875,59.50000000000001,85.44,3.255555555555555,4.797991869918699,45.754724303474305,48.65596195482476
8192,full,full_flashinfer,100.0,100.0,100.0,100.0,62.16666666666667,89.83333333333333,65.33333333333333,62.66666666666667,21.913802253444196,32.0,66.5440406504065,69.39999999999999,46.2,77.60000000000001,82.6,81.2,45.016666666666666,58.64007936507936,49.02891319207108,29.200000000000003,12.535734114238343,14.468550465659447,100.0,70.0,71.39999999999999,34.81499063395248,66.5440406504065,26.956901126722098,61.619322068513505
8192,xattn,xattn_threshold0.95,0.0,99.0,100.0,98.0,60.83333333333333,90.33333333333333,0.33333333333333337,0.0,21.821763857057974,34.0,66.66433333333333,69.0,46.2,76.4,82.6,81.2,46.0,50.42016594516594,45.461751973516684,26.999999999999996,12.25657621773004,13.621661748541197,74.25,37.875,71.08000000000001,32.46002598082564,66.66433333333333,27.910881928528987,51.70670687378132
8192,xattn_v6,xattn_v6_threshold0.95,100.0,99.0,100.0,98.0,61.0,90.16666666666666,64.33333333333333,62.33333333333333,21.821763857057974,33.0,,69.39999999999999,45.4,76.6,,,,,,,,,99.25,69.45833333333333,63.79999999999999,,,27.410881928528987,64.97980381546557
8192,flex,flex_gamma0.95_tau0.1,98.0,96.0,99.75,90.0,56.833333333333336,87.16666666666667,60.0,57.99999999999999,22.870629805923926,34.0,54.11130894308942,74.4,41.4,70.8,76.2,78.60000000000001,43.63333333333334,36.27960095460096,34.12566205724101,23.999999999999996,3.972240821770936,6.674526785736232,95.9375,65.5,68.28,24.780893992113743,54.11130894308942,28.435314902961963,56.174169639694185
16384,full,full_flashinfer,100.0,100.0,100.0,100.0,58.333333333333336,90.16666666666666,61.33333333333333,58.833333333333336,28.294206447147623,39.0,51.86632520325203,70.6,54.0,81.6,89.0,85.2,43.20000000000001,41.78221500721501,35.388299916457804,18.0,9.308161512890337,11.244001724110987,100.0,67.16666666666666,76.08,26.487113026779024,51.86632520325203,33.64710322357381,59.207868020045254
16384,xattn,xattn_threshold0.95,100.0,97.0,100.0,100.0,58.5,0.0,0.33333333333333337,0.0,28.96239936534054,39.0,50.71948780487805,71.39999999999999,55.2,81.2,89.4,85.39999999999999,38.65,30.735389610389607,30.83319530710835,13.200000000000001,6.870578274204514,7.168412201819428,99.25,14.708333333333334,76.52000000000001,21.24292923225365,50.71948780487805,33.98119968267027,49.403658342189225
