Config,Config,Config,Recall,Recall,Recall,Recall,RAG,RAG,RAG,RAG,ICL,ICL,ICL,ICL,ICL,Cite,Cite,Cite,Cite,Cite,Cite,Re-rank,LongQA,LongQA,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
,,,KeyValue,NIAH,NIAH,NIAH,,,,,Other,Other,Other,TREC,TREC,ASQA,ASQA,ASQA,QAMPARI,QAMPARI,QAMPARI,,InfBench,InfBench,Summary,Summary,Summary,Summary,Summary,Summary,
input_max_length,attention,tag,json_kv,niah_mk_2,niah_mk_3,niah_mv,hotpotqa,nq,popqa,triviaqa,banking77,clinic150,nlu,trec_coarse,trec_fine,asqa_citation_prec,asqa_citation_rec,asqa_str_em,qampari_citation_prec,qampari_citation_rec,qampari_rec_top5,msmarco_psg,infbench_choice,infbench_qa,avg_score,avg_score,avg_score,avg_score,avg_score,avg_score,
8192,flex,flex_gamma0.95_tau0.1,91.0,98.0,96.0,99.75,60.333333333333336,56.833333333333336,57.99999999999999,87.33333333333333,70.39999999999999,76.4,78.8,74.6,40.8,32.85602715997453,34.674153624153625,44.96666666666667,8.309179172347166,5.56325990575427,25.8,54.48357723577235,34.0,22.870629805923926,96.1875,65.625,68.2,25.361547754816048,54.48357723577235,28.435314902961963,56.38215664892507
8192,full,full,100.0,100.0,100.0,100.0,65.33333333333333,62.0,63.33333333333333,90.0,77.4,82.6,81.6,69.39999999999999,46.2,49.990838766496665,60.505339105339104,44.76666666666667,15.50236085135331,13.75269543571856,28.000000000000004,66.80420325203251,32.0,21.761421301063244,100.0,70.16666666666666,71.44000000000001,35.41965013759572,66.80420325203251,26.880710650531622,61.78520511780442
8192,tri,tri_sparse55,100.0,100.0,100.0,100.0,64.66666666666666,61.0,62.16666666666667,90.5,77.0,82.39999999999999,81.0,70.0,45.0,nan,nan,nan,nan,nan,nan,nan,32.0,21.32456829899285,100.0,69.58333333333333,71.08,nan,nan,26.662284149496426,66.83140437070743
8192,xattn,xattn_threshold0.95,98.0,100.0,99.0,100.0,64.33333333333333,61.0,62.33333333333333,90.16666666666666,76.6,82.6,81.39999999999999,69.39999999999999,45.4,47.887509914406195,55.12521645021645,46.68333333333334,14.54316420718143,12.521304705800155,26.200000000000003,67.26220325203252,33.0,21.821763857057974,99.25,69.45833333333333,71.08,33.8267547684896,67.26220325203252,27.410881928528987,61.38136221373073
8192,xattn_singele_v5,xattn_v5_threshold0.95,100.0,100.0,100.0,100.0,63.66666666666667,60.83333333333333,62.16666666666667,90.33333333333333,75.2,82.6,80.80000000000001,69.6,47.0,nan,nan,nan,nan,nan,nan,nan,32.0,21.304665979090533,100.0,69.25,71.03999999999999,nan,nan,26.652332989545265,66.73558324738632
8192,xattn_single,xattn_threshold0.95,98.0,100.0,99.0,100.0,64.33333333333333,61.0,62.33333333333333,90.16666666666666,76.6,82.6,81.39999999999999,69.39999999999999,45.4,47.887509914406195,55.12521645021645,46.68333333333334,14.54316420718143,12.521304705800155,26.200000000000003,67.26220325203252,33.0,21.821763857057974,99.25,69.45833333333333,71.08,33.8267547684896,67.26220325203252,27.410881928528987,61.38136221373073
8192,xattn_single_v6,xattn_v6_threshold0.95,100.0,100.0,100.0,100.0,62.66666666666667,59.333333333333336,63.0,90.33333333333333,75.4,82.0,80.60000000000001,70.0,46.0,46.19966144966144,53.42124819624819,47.50000000000001,14.540838397772973,13.6825651480781,27.999999999999996,65.83789430894309,32.0,21.919199754493874,100.0,68.83333333333333,70.8,33.89071886529346,65.83789430894309,26.959599877246937,61.053591064136135
8192,xattn_v4,xattn_v4_threshold0.95,100.0,100.0,100.0,100.0,62.0,61.33333333333333,63.0,89.5,75.6,81.0,79.0,70.0,46.2,50.68708513708514,57.38360528360529,46.81666666666666,14.304200526088026,12.825224097205224,26.200000000000003,66.48740650406504,32.0,21.17497441461636,100.0,68.95833333333333,70.36,34.702796951775056,66.48740650406504,26.58748720730818,61.18267066608026
8192,xattn_v5,xattn_v5_threshold0.95,100.0,100.0,100.0,100.0,63.66666666666667,60.83333333333333,62.16666666666667,90.33333333333333,75.2,82.6,80.80000000000001,69.6,47.0,50.75386141636141,56.83333333333332,47.53333333333333,15.223306619003182,13.996017396773508,26.400000000000002,65.95211382113823,32.0,21.304665979090533,100.0,69.25,71.03999999999999,35.12330868313413,65.95211382113823,26.652332989545265,61.33629258230294
8192,xattn_v6,xattn_v6_threshold0.95,100.0,100.0,100.0,100.0,62.66666666666667,59.333333333333336,63.0,90.33333333333333,75.4,82.0,80.60000000000001,70.0,46.0,46.19966144966144,53.42124819624819,47.50000000000001,14.540838397772973,13.6825651480781,27.999999999999996,65.83789430894309,32.0,21.919199754493874,100.0,68.83333333333333,70.8,33.89071886529346,65.83789430894309,26.959599877246937,61.053591064136135
8192,xattn_v7,llama_xattn_v7_threshold0.95,100.0,100.0,99.0,100.0,63.0,62.16666666666667,63.33333333333333,89.33333333333333,76.2,81.8,81.39999999999999,69.6,46.0,49.10208769988181,55.51695526695526,47.28333333333334,13.609270071725687,11.982614412435908,28.4,65.08631707317073,30.0,20.211995847289966,99.75,69.45833333333333,71.0,34.315710130722,65.08631707317073,25.105997923644985,60.786059743478496
8192,xattn_v8,llama_xattn_v8_threshold0.95,100.0,100.0,99.0,100.0,64.0,60.16666666666667,63.5,90.83333333333333,76.8,82.6,80.80000000000001,69.8,45.6,46.15833055833056,53.19040404040404,46.53333333333334,15.319822466804467,13.447664665430667,27.800000000000004,66.77870731707316,33.0,22.543009278303394,99.75,69.625,71.11999999999999,33.741592510717176,66.77870731707316,27.771504639151697,61.46446741115701
8192,xattn_v9,llama_xattn_v9_threshold0.95,99.0,100.0,99.0,100.0,63.33333333333333,60.5,62.5,90.0,76.0,82.6,81.39999999999999,69.6,45.2,42.67478771228772,50.38791486291486,45.900000000000006,13.380274764823755,11.867384545770543,23.6,67.17981300813007,34.0,21.921763857057975,99.5,69.08333333333333,70.96,31.301726980966148,67.17981300813007,27.960881928528988,60.99762587515974
