Config,Config,Config,Recall,Recall,Recall,Recall,RAG,RAG,RAG,RAG,ICL,ICL,ICL,ICL,ICL,Cite,Cite,Cite,Cite,Cite,Cite,Re-rank,LongQA,LongQA,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
,,,KeyValue,NIAH,NIAH,NIAH,,,,,Other,Other,Other,TREC,TREC,ASQA,ASQA,ASQA,QAMPARI,QAMPARI,QAMPARI,,InfBench,InfBench,Summary,Summary,Summary,Summary,Summary,Summary,
input_max_length,attention,tag,json_kv,niah_mk_2,niah_mk_3,niah_mv,hotpotqa,nq,popqa,triviaqa,banking77,clinic150,nlu,trec_coarse,trec_fine,asqa_citation_prec,asqa_citation_rec,asqa_str_em,qampari_citation_prec,qampari_citation_rec,qampari_rec_top5,msmarco_psg,infbench_choice,infbench_qa,avg_score,avg_score,avg_score,avg_score,avg_score,avg_score,
8192,flex,qwen_flex_gamma0.95_tau0.1,71.0,96.0,81.0,75.5,53.666666666666664,48.5,54.0,79.5,76.8,77.2,78.0,80.4,38.800000000000004,27.508838383838384,30.461904761904762,34.68333333333334,8.767564810668258,8.019211702276218,4.800000000000001,44.71034146341463,44.0,19.47528016048889,80.875,58.916666666666664,70.24,19.040142165336828,44.71034146341463,31.737640080244446,50.91996506261042
8192,full,qwen_full,99.0,100.0,98.0,98.5,59.333333333333336,53.5,60.5,78.0,74.4,81.6,80.4,82.0,42.199999999999996,55.98073038073038,62.92619047619048,42.53333333333333,22.545238095238094,21.31744468122177,25.6,57.49795121951219,41.0,24.123987397191733,98.875,62.833333333333336,72.12,38.483822827785666,57.49795121951219,32.56199369859587,60.39535017987117
8192,xattn,qwen_xattn_threshold0.95,99.0,100.0,97.0,97.25,57.666666666666664,52.0,59.66666666666667,77.33333333333333,74.8,82.0,80.4,81.0,43.4,54.30847763347762,63.88571428571429,44.13333333333333,21.181272893772892,20.35965007215007,22.999999999999996,55.14323577235773,44.0,25.849616755793225,98.3125,61.66666666666666,72.32000000000001,37.81140803640803,55.14323577235773,34.92480837789661,60.029769808888176
8192,xattn_single,qwen_xattn_threshold0.95,99.0,100.0,97.0,97.25,57.666666666666664,52.0,59.66666666666667,77.33333333333333,74.8,82.0,80.4,81.0,43.4,54.30847763347762,63.88571428571429,44.13333333333333,21.181272893772892,20.35965007215007,22.999999999999996,55.14323577235773,44.0,25.849616755793225,98.3125,61.66666666666666,72.32000000000001,37.81140803640803,55.14323577235773,34.92480837789661,60.029769808888176
8192,xattn_v5,qwen_xattn_v5_threshold0.95,99.0,100.0,97.0,98.5,59.66666666666667,51.5,60.333333333333336,78.16666666666666,74.2,81.2,80.60000000000001,81.39999999999999,42.8,52.69148351648351,62.288888888888884,44.833333333333336,21.602834008097165,20.8093672993673,24.799999999999997,56.859146341463415,45.0,23.90517231134878,98.625,62.416666666666664,72.03999999999999,37.8376511743617,56.859146341463415,34.45258615567439,60.3718417230277
8192,xattn_v5_single,qwen_xattn_v5_threshold0.95,99.0,100.0,97.0,98.5,59.66666666666667,51.5,60.333333333333336,78.16666666666666,74.2,81.2,80.60000000000001,81.39999999999999,42.8,52.69148351648351,62.288888888888884,44.833333333333336,21.602834008097165,20.8093672993673,24.799999999999997,56.859146341463415,45.0,23.90517231134878,98.625,62.416666666666664,72.03999999999999,37.8376511743617,56.859146341463415,34.45258615567439,60.3718417230277
8192,xattn_v6,qwen_xattn_v6_threshold0.95,100.0,100.0,98.0,98.5,57.99999999999999,53.0,59.66666666666667,77.83333333333333,74.6,80.80000000000001,79.80000000000001,81.0,42.0,54.136507936507925,62.31111111111112,44.983333333333334,21.173232323232323,20.349786324786326,24.2,54.315943089430895,44.0,24.27385918003565,99.125,62.125,71.64,37.85899517149517,54.315943089430895,34.13692959001783,59.86697797515731
8192,xattn_v7,qwen_xattn_v7_threshold0.95,99.0,100.0,97.0,98.0,57.99999999999999,52.83333333333333,59.833333333333336,78.5,75.0,80.4,80.0,81.39999999999999,41.8,52.271031746031746,60.82222222222222,43.81666666666667,20.628109390609392,19.794858001475646,24.4,56.62886178861788,45.0,22.638505644682116,98.5,62.291666666666664,71.72,36.95548133783428,56.62886178861788,33.819252822341056,59.985877102576644
8192,xattn_v8,qwen_xattn_v8_threshold0.95,99.0,100.0,97.0,98.5,59.0,53.166666666666664,59.66666666666667,77.83333333333333,75.6,81.2,80.2,81.2,42.199999999999996,54.866575091575086,60.88333333333333,43.66666666666667,21.457236842105264,20.185083848899637,23.799999999999997,55.11339024390245,45.0,25.749616755793227,98.625,62.41666666666666,72.08,37.476482630430006,55.11339024390245,35.37480837789661,60.18105798648262
8192,xattn_v9,qwen_xattn_v9_threshold0.95,100.0,100.0,97.0,97.25,59.66666666666667,53.0,59.333333333333336,77.16666666666666,75.4,81.8,80.2,81.6,42.8,52.22893772893773,60.266666666666666,43.38333333333334,20.184249084249085,19.206277056277056,22.799999999999997,55.542666666666676,44.0,24.77183897801545,98.5625,62.291666666666664,72.36,36.34491064491065,55.542666666666676,34.385919489007726,59.91461057787529
8192,xflex_v6,qwen_xflex_v6_threshold0.95_score0.001,100.0,100.0,98.0,98.75,58.666666666666664,53.0,59.0,77.66666666666666,75.2,80.80000000000001,79.80000000000001,81.2,42.0,53.2994227994228,61.383333333333326,42.76666666666667,20.511363636363637,19.713084722295246,24.0,55.4350081300813,46.0,24.19406120023767,99.1875,62.08333333333333,71.80000000000001,36.94564519301361,55.4350081300813,35.097030600118835,60.09141954275785
16384,flex,qwen_flex_gamma0.95_tau0.1,74.0,95.0,76.0,86.0,55.666666666666664,46.666666666666664,56.333333333333336,82.16666666666667,82.39999999999999,86.6,82.6,83.0,47.4,20.660308972073675,16.678968253968254,30.450000000000006,4.803002070393374,3.9826196750109797,1.8000000000000003,36.380861788617885,45.0,25.612698216815865,82.75,60.20833333333333,76.4,13.062483161907714,36.380861788617885,35.30634910840793,50.68467123204447
